Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Jan,1328,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Feb,528,Wet / Damp,Darkness: no street lighting,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Feb,1125,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 500cc
1,Feb,1255,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,2150,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Feb,1850,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Feb,1900,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Feb,645,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Feb,916,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Feb,2100,Dry,Darkness: street lighting unknown,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Feb,1222,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Feb,1908,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1908,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
3,Feb,1915,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Feb,1915,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
3,Feb,1915,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Feb,806,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Feb,852,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1231,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,M/cycle 50cc and under
2,Feb,1402,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,Feb,1402,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Feb,2045,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Feb,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Feb,811,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1005,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1005,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Feb,1005,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,1145,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Feb,1510,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Jan,1345,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,MIDDLE-AGED,Car
2,Feb,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1725,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1725,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
1,Feb,1800,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Feb,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Feb,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
3,Feb,730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
3,Feb,730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Feb,1312,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,Feb,1515,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Feb,1709,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Feb,1741,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,2130,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,2130,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,YOUNG,Car
2,Feb,650,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Feb,1052,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,1112,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1112,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Feb,1504,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Feb,1802,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Feb,1135,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Feb,1427,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Feb,1920,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Feb,1311,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Feb,1650,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Feb,830,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
2,Feb,1525,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,1525,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1525,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Feb,1525,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Feb,1828,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,655,Dry,Darkness: street lighting unknown,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Feb,729,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,740,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Feb,1415,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Feb,1424,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Feb,1715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
1,Feb,1715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Feb,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Feb,858,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
1,Feb,1517,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Taxi/Private hire car
2,Feb,2117,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,2117,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1244,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1244,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Feb,1545,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,Feb,1545,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
1,Feb,1756,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Feb,1737,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Feb,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Taxi/Private hire car
2,Feb,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Feb,2035,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Feb,110,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Feb,110,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Feb,955,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Feb,1730,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Feb,1105,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,Feb,1105,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Feb,1105,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,Feb,1105,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
1,Feb,1515,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Goods vehicle 3.5 tonnes mgw and under
3,Feb,1757,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Feb,2201,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Feb,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
3,Feb,1715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,M/cycle 50cc and under
1,Feb,1654,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Feb,2245,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Feb,110,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
1,Feb,110,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Feb,110,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Feb,615,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Car
2,Feb,635,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,815,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Feb,1905,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Feb,1313,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Feb,1522,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Feb,2048,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,YOUNG,Car
1,Feb,2048,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Feb,836,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Feb,1015,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Pedal cycle
2,Feb,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1547,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1547,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Feb,1725,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Feb,1620,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Feb,925,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
3,Feb,942,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Feb,942,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Feb,942,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Feb,1204,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Feb,1413,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Feb,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Pedal cycle
2,Feb,1010,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1010,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,Feb,1411,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Feb,850,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
1,Feb,1923,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
2,Feb,2205,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,Feb,702,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
1,Feb,1153,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Feb,1646,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Feb,1646,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Feb,1819,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Feb,2110,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Feb,2110,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,2110,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,YOUNG,Car
2,Feb,2110,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
3,Feb,850,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Feb,850,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Minibus (8 � 16 passenger seats)
3,Feb,850,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Minibus (8 � 16 passenger seats)
3,Feb,850,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Minibus (8 � 16 passenger seats)
2,Feb,853,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1126,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Feb,1715,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Feb,2000,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
2,Feb,850,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Feb,835,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,835,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Feb,1920,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Feb,1920,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
