Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,30-Jan-15,2330,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Taxi/Private hire car
2,31-Jan-15,857,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2,31-Jan-15,857,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,34,Car
1,30-Jan-15,1945,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats)
2,31-Jan-15,1532,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Car
1,31-Jan-15,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,84,Bus or coach (17 or more passenger seats)
1,01-Feb-15,528,Unclassified,Wet / Damp,Darkness: no street lighting,Fine with high winds,Driver/Rider,Slight,Male,30,Car
1,01-Feb-15,1125,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,77,Motorcycle over 500cc
1,01-Feb-15,1255,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,80,Car
2,01-Feb-15,2150,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Car
1,01-Feb-15,1850,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,54,Car
1,01-Feb-15,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,18,Car
2,02-Feb-15,645,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,51,Car
3,02-Feb-15,916,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Pedal cycle
